brand,first_reply_pairs,deflect_rate,ack_only_rate,substantive_rate,non_latin_rate,median_reply_chars,thanks_rate,multi_turn_rate,distinct_customers,usable_score
AlaskaAir,7412,0.162574203993524,0.0006745817593092283,0.5002698327037237,0.0,75.0,0.08971937398812736,0.3235294117647059,4736,0.580037900088687
airtel_care,9402,0.19304403318442884,0.00021272069772388852,0.5786002978089768,0.002871729419272495,99.0,0.041480536056158264,0.24356519889385236,2818,0.5748068570637329
ChipotleTweets,18599,0.051561911930748966,0.00016129899456960052,0.44760470993064144,0.0,57.0,0.045056185816441746,0.315070702725953,14374,0.5712619066081659
Ask_Spectrum,25617,0.5413592536206425,7.807315454580943e-05,0.4059023304836632,0.00046843892727485657,122.0,0.04457977124565718,0.29214974431041885,17213,0.562668076216273
CoxHelp,7813,0.4570587482401126,0.0,0.46781006015615,0.00012799180852425445,104.0,0.05516446947395367,0.3711762447203379,4320,0.5569679086777526
sprintcare,22209,0.49624026295645907,0.0003602143275248773,0.4085280742041515,0.0046827862578234045,104.0,0.03295961096852627,0.3230221982079337,12895,0.5559247543254366
McDonalds,8427,0.00711997152011392,0.0,0.6149282069538389,0.0,67.0,0.01518927257624303,0.1600806930105613,8199,0.5476157041029237
AskCiti,4036,0.39197224975222994,0.0,0.6000991080277502,0.001238850346878097,129.0,0.05525272547076313,0.22770069375619426,2197,0.546910796430015
AirbnbHelp,8820,0.6086167800453515,0.0014739229024943311,0.36802721088435375,0.002494331065759637,132.0,0.09852607709750567,0.3212018140589569,5361,0.5342935908372194
Ask_WellsFargo,7559,0.4069321338801429,0.0,0.5341976451911629,0.0010583410504034925,123.0,0.03492525466331525,0.20452440799047494,5585,0.5298652865662702
AldiUK,7846,0.30066275809329596,0.002421616110119806,0.4347438185062452,0.0,104.0,0.07162885546775427,0.24560285495794035,6327,0.5219046752664417
VirginAmerica,2802,0.19414703783012136,0.0024982155603140615,0.4732334047109208,0.0,76.0,0.07744468236973591,0.35688793718772305,1918,0.5185299686544361
IHGService,2625,0.4613333333333333,0.00038095238095238096,0.5089523809523809,0.0,127.0,0.07238095238095238,0.2613333333333333,1601,0.5040187413498497
DellCares,5210,0.454510556621881,0.0,0.4781190019193858,0.002111324376199616,122.0,0.04952015355086373,0.2291746641074856,1763,0.5014275917353027
HPSupport,7145,0.4508047585724283,0.0,0.5356193142057383,0.0013995801259622112,118.0,0.02827151854443667,0.1112666200139958,3717,0.4998374967878041
ChaseSupport,8707,0.5175146433903756,0.0,0.42827609968990465,0.0019524520500746527,116.0,0.044446996669346504,0.1834156425864247,6677,0.49033148519200614
Walmart,2608,0.004984662576687116,0.0,0.6050613496932515,0.0,69.0,0.027223926380368097,0.13803680981595093,2364,0.48600835774650725
comcastcares,32921,0.7248564745906868,0.0,0.23665745268977248,0.0007290179520670697,119.0,0.04562437350019744,0.2287293824610431,21823,0.4840745303421664
UPSHelp,17762,0.7328566602860038,0.0,0.23786735727958563,0.0012948992230604661,115.0,0.049543970273617836,0.27429343542393875,14614,0.4671403845506089
TMobileHelp,34215,0.8213064445418676,0.0005845389449072045,0.15276925325149787,0.0008475814701154465,104.0,0.04480491012713722,0.2825368990208973,19942,0.46117436813389223
AskLyft,11782,0.6580376846036327,0.0010185028008827025,0.29417755898828724,0.0005092514004413513,110.0,0.04405024613817688,0.21388558818536751,9407,0.4529461817143442
AskPayPal,11239,0.7344069757095827,8.897588753447816e-05,0.23284989767772934,0.005694456802206602,122.0,0.058101254560014234,0.22012634576029896,9437,0.43309762927870843
GreggsOfficial,4487,0.1758413193670604,0.010474704702473813,0.18185870291954534,0.0,33.0,0.050590595052373524,0.4125250724314687,3296,0.4073765782871765
ATT,2716,0.5975699558173785,0.0003681885125184094,0.32142857142857145,0.0,122.0,0.03460972017673049,0.26730486008836524,2187,0.39767917114487794
AskPapaJohns,3892,0.6369475847893115,0.010277492291880781,0.210431654676259,0.00025693730729701953,92.0,0.051387461459403906,0.29804727646454265,3149,0.3848688773815847
askpanera,2152,0.6802973977695167,0.009758364312267658,0.26812267657992567,0.0,113.0,0.046933085501858735,0.24117100371747213,1940,0.3635297949667271
CenturyLinkHelp,3793,0.8035855523332455,0.0002636435539151068,0.17347745847614027,0.0005272871078302136,107.0,0.04297389928816241,0.276562088056947,2696,0.35590753193307206
TacoBellTeam,4081,0.40529282038716,0.000490075961774075,0.10879686351384464,0.0,39.0,0.03945111492281304,0.346483704974271,3089,0.34573615658970286
Postmates_Help,3336,0.7823741007194245,0.0017985611510791368,0.14418465227817745,0.0,66.0,0.04106714628297362,0.25869304556354916,2846,0.3305337317531605
KFC_UKI_Help,2098,0.7087702573879886,0.01811248808388942,0.19351763584366063,0.0,89.0,0.037178265014299335,0.26024785510009535,1998,0.326930409914204
